Country,Recency_Change,Frequency_Fluctuation,Magnitude_Emissions,Cluster,Cluster_Label
Australia,-1.6598892773892757,3.0174185915412117,64471.88478145216,0,Fossil Fuel Reliants
Brazil,3.679054487179485,3.246279706283673,63502.69828628411,1,Green Pioneers
Canada,-6.887629870129871,3.5143550519812243,63331.91038947813,2,Developing Transformers
China,2.0409449760765526,2.66055872453914,65143.308815025695,0,Fossil Fuel Reliants
Germany,3.3740492610837407,3.6527363280954015,62545.050523317004,1,Green Pioneers
India,3.7303219696969663,3.640136551394403,63422.70265751845,1,Green Pioneers
Japan,2.703785714285715,3.42760517984075,63149.1649761687,1,Green Pioneers
Russia,2.804029411764702,2.5850691868160087,62365.779961033346,3,Energy Savers
UK,-10.529215130023637,3.7724246700066937,63432.78617908845,2,Developing Transformers
USA,1.9963686763686752,3.3183908163636273,62713.56068138418,1,Green Pioneers
